"distinguishedName","name","objectClass","objectGUID","SamAccountName","SID"
"CN=e008102,OU=Users,OU=Branch-036,OU=Corporate,DC=aus,DC=gjames,DC=com,DC=au","e008102","user","eae46ef6-19aa-4dc1-99d0-0dae3c90521d","e008102","S-1-5-21-261625437-2268339345-988517155-4366"
"CN=e104239,OU=Users,OU=Branch-004,OU=Corporate,DC=aus,DC=gjames,DC=com,DC=au","e104239","user","81633bb9-328d-4160-879a-6b6c2c78ff27","e104239","S-1-5-21-261625437-2268339345-988517155-23979"
"CN=e104243,OU=Users,OU=Branch-050,OU=Corporate,DC=aus,DC=gjames,DC=com,DC=au","e104243","user","d92346ee-f27d-4be0-a7d1-d9aaa494b250","e104243","S-1-5-21-261625437-2268339345-988517155-23980"
"CN=e104234,OU=Users,OU=Branch-036,OU=Corporate,DC=aus,DC=gjames,DC=com,DC=au","e104234","user","97ecaaff-12fc-4431-a147-7976a3c4b07f","e104234","S-1-5-21-261625437-2268339345-988517155-23981"
"CN=e104249,OU=Users,OU=Branch-038,OU=Corporate,DC=aus,DC=gjames,DC=com,DC=au","e104249","user","eb8762bd-9a8c-4e72-85af-4f11f6974760","e104249","S-1-5-21-261625437-2268339345-988517155-23983"
"CN=e104236,OU=Users,OU=Branch-005,OU=Corporate,DC=aus,DC=gjames,DC=com,DC=au","e104236","user","e547782e-0a99-495d-b339-dcad236fe08f","e104236","S-1-5-21-261625437-2268339345-988517155-23984"
"CN=e104237,OU=Users,OU=Branch-006,OU=Corporate,DC=aus,DC=gjames,DC=com,DC=au","e104237","user","d145ebb7-10d6-47ee-a094-75ea360d955f","e104237","S-1-5-21-261625437-2268339345-988517155-23986"
"CN=e104244,OU=Users,OU=Branch-018,OU=Corporate,DC=aus,DC=gjames,DC=com,DC=au","e104244","user","61d9430b-a16b-40ec-899b-b8e82493e118","e104244","S-1-5-21-261625437-2268339345-988517155-24005"
"CN=e102721,OU=Users,OU=Branch-004,OU=Corporate,DC=aus,DC=gjames,DC=com,DC=au","e102721","user","9ffada04-670e-4e6f-a4e0-0c7627e04cf8","e102721","S-1-5-21-261625437-2268339345-988517155-24010"
"CN=e104262,OU=Users,OU=Branch-001,OU=Corporate,DC=aus,DC=gjames,DC=com,DC=au","e104262","user","2bed49bd-831b-4b24-8476-f55238bbc76d","e104262","S-1-5-21-261625437-2268339345-988517155-24040"
"CN=e104259,OU=Users,OU=Branch-004,OU=Corporate,DC=aus,DC=gjames,DC=com,DC=au","e104259","user","9f8d39a3-9d98-4d4c-816e-38cd5633eef5","e104259","S-1-5-21-261625437-2268339345-988517155-24046"
"CN=e103530,OU=Users,OU=Branch-008,OU=Corporate,DC=aus,DC=gjames,DC=com,DC=au","e103530","user","b0b8194c-6796-46f5-b577-eaa00d14821d","e103530","S-1-5-21-261625437-2268339345-988517155-23569"
"CN=e104267,OU=Users,OU=Branch-047,OU=Corporate,DC=aus,DC=gjames,DC=com,DC=au","e104267","user","aa88c21f-9962-4b5c-891b-74c28be34db6","e104267","S-1-5-21-261625437-2268339345-988517155-23570"
"CN=e104277,OU=Users,OU=Branch-024,OU=Corporate,DC=aus,DC=gjames,DC=com,DC=au","e104277","user","0784344f-4174-42f9-bd35-7081f7bbd75b","e104277","S-1-5-21-261625437-2268339345-988517155-23571"
"CN=e104272,OU=Users,OU=Branch-011,OU=Corporate,DC=aus,DC=gjames,DC=com,DC=au","e104272","user","814f1706-61b6-4779-ae5f-19c1e9d5697b","e104272","S-1-5-21-261625437-2268339345-988517155-23573"
